Transaction_ID,Order_Date,Customer_Reference_ID,Item_SKU,Quantity_Purchased,Total_Revenue_Logged,Marketing_Channel,Time_to_Ship_Days,Refund_Applied
T118,25/08/24,C3173,Wig-BLOND-14,3,13500.0 GHS,Referral,4,NULL
T119,09-Oct-2024,cust_3095,ACC-21,3,828.0 GHS,Organic,3,TRUE
T120,24/11/24,cust_4444,ACC-13,1,215.0 GHS,Organic,6,NULL
T121,05-Sep-2024,cust_5304,ACC-20,2,194.0 GHS,Organic,7,N
T122,04-Sep-2024,cust_4725,Wig-AFRO,2,7000.0 GHS,Organic,3,Y
T123,30/10/24,cust_3079,Wig-HDC-24,1,9500.0 GHS,Email,6,N
T124,27/12/24,cust_4164,ACC-24,3,447.0 GHS,Email,3,N
T125,18-Mar-2025,cust_1478,Wig-OMBRE-22,1,6800.0 GHS,Organic,40,TRUE
T126,28-Oct-2025,cust_3573,Wig-AFRO,2,7000.0 GHS,Email,32,N
T127,16/02/25,C4542,ACC-22,2,236.0 GHS,Organic,3,N
T128,25-Sep-2025,C404,Wig-OMBRE-22,3,20400.0 GHS,Email,3,N
T129,2024-11-01,C1753,Wig-AFRO,1,3500.0 GHS,Referral,3,N
T130,29-Jun-2025,cust_1609,Wig-HDC-24,3,28500.0 GHS,Google_Ads,20,NULL
T131,24-Sep-2024,C465,Wig-WAVY-20,1,522.37 USD,Organic,7,N
T132,25/11/24,cust_2654,ACC-22,1,118.0 GHS,Organic,7,N
T133,11/11/24,cust_1233,ACC-8,1,239.0 GHS,Organic,5,N
T134,2025-07-28,C3128,Wig-HDShort,1,6500.0 GHS,Organic,3,N
T135,2024-12-24,C1775,Wig-HDC-24,2,19000.0 GHS,Organic,5,N
T136,2025-01-18,cust_3206,Wig-RED-14,2,14000.0 GHS,Organic,27,N
T137,24/11/24,C2620,Wig-WAVY-20,2,16000.0 GHS,Organic,20,Y
T138,18-Aug-2025,C1102,Wig-AFRO,1,3500.0 GHS,Meta Paid,44,N
T139,05-Jul-2024,cust_2298,Wig-RED-14,1,7000.0 GHS,Email,5,N
T140,2024-08-10,C4431,ACC-9,1,309.0 GHS,Organic,7,N
T141,19-Oct-2025,C3113,ACC-20,3,291.0 GHS,Referral,7,N
T142,13/01/25,cust_1664,ACC-15,2,554.0 GHS,Organic,5,TRUE
T143,14-Sep-2025,C3650,ACC-14,3,351.0 GHS,Organic,3,N
T144,2025-10-24,C640,ACC-6,3,357.0 GHS,Referral,5,TRUE
T145,02/10/24,C2120,ACC-14,2,234.0 GHS,Organic,7,N
T146,25-Jan-2025,cust_3523,Wig-SWISS-18,1,4200.0 GHS,Referral,29,Y
T147,05/03/25,cust_3003,ACC-7,3,873.0 GHS,Email,3,N
T148,14-Jul-2024,C3602,Wig-Bone-30,1,7800.0 GHS,Referral,5,N
T149,17-Jun-2025,cust_1567,ACC-20,3,24.78 USD,Organic,5,N
T150,25/06/25,cust_2700,ACC-1,2,526.0 GHS,Meta Paid,5,Y
T151,01-Dec-2024,C3986,ACC-23,3,672.0 GHS,Referral,5,N
T152,16-Aug-2025,cust_3027,Wig-HDC-24,3,28500.0 GHS,Organic,25,N
T153,21-Nov-2024,C4991,Wig-AFRO,3,10500.0 GHS,Organic,34,N
T154,31-May-2025,C1204,Wig-Tpart-12,1,308.63 USD,Google_Ads,7,N
T155,25/06/25,C230,ACC-22,1,118.0 GHS,Google_Ads,3,N
T156,2025-06-07,cust_2282,ACC-19,1,164.0 GHS,Meta Paid,3,TRUE
T157,18-Nov-2024,C3940,ACC-7,3,873.0 GHS,Organic,5,N
T158,03/06/25,cust_2195,ACC-8,2,478.0 GHS,Organic,4,N
T159,14-Mar-2025,C4406,Wig-CURL-32,3,3227.44 USD,Email,6,N
T160,17-Apr-2025,cust_3388,Wig-RED-14,3,1703.43 USD,Organic,7,N
T161,07-Dec-2024,C8,ACC-15,3,831.0 GHS,Email,7,NULL
T162,2025-01-01,cust_2604,ACC-14,2,234.0 GHS,Organic,3,N
T163,2025-07-15,C1980,ACC-24,1,13.22 USD,Meta Paid,3,N
T164,04/09/25,C3078,Wig-WAVY-20,3,24000.0 GHS,Email,6,Y
T165,2025-09-21,cust_667,Wig-Bone-30,1,7800.0 GHS,Referral,4,N
T166,2025-01-13,C3946,Wig-AFRO,1,3500.0 GHS,Organic,7,N
T167,26/04/25,cust_5012,Wig-RED-14,3,21000.0 GHS,Referral,36,NULL
T168,2024-10-29,cust_3978,Wig-CURL-32,3,42000.0 GHS,Organic,6,N
T169,2025-09-15,C1255,Wig-LUX-26,3,37500.0 GHS,Email,23,N
T170,01-Dec-2024,C562,Wig-STRA-16,3,19500.0 GHS,Email,23,N
T171,18-Oct-2024,C2360,ACC-20,2,194.0 GHS,Email,3,N
T172,2024-07-03,C1100,ACC-12,1,158.0 GHS,Organic,3,N
T173,05/06/25,cust_971,ACC-7,1,291.0 GHS,Organic,7,N
T174,29-Aug-2024,C1562,acc-25,2,490.0 GHS,Organic,5,N
T175,27-Jul-2024,cust_2083,Wig-Bone-30,3,23400.0 GHS,Organic,26,N
T176,2025-04-11,C3847,Wig-OMBRE-22,3,20400.0 GHS,Organic,6,NULL
T177,27-Aug-2025,cust_1360,ACC-5,1,274.0 GHS,Meta Paid,5,N
T178,01/01/25,C4840,Wig-BLOND-14,3,13500.0 GHS,Organic,39,NULL
T179,03-Sep-2024,cust_4397,ACC-22,1,118.0 GHS,Referral,6,N
T180,04-Feb-2025,C176,ACC-6,1,119.0 GHS,Organic,4,Y
T181,2025-03-08,C5238,ACC-11,2,23866 NGN,Organic,6,Y
T182,06/06/25,cust_1184,ACC-14,3,351.0 GHS,Meta Paid,4,N
T183,06/08/25,cust_3076,Wig-Bone-30,2,1040000 NGN,Meta Paid,3,NULL
T184,2024-07-13,cust_2934,ACC-8,3,717.0 GHS,Organic,6,N
T185,26-Oct-2025,cust_3282,ACC-11,3,537.0 GHS,Referral,6,N
T186,2025-03-02,cust_3800,Wig-CURL-32,1,14000.0 GHS,Organic,42,TRUE
T187,2024-12-15,cust_100,ACC-1,1,263.0 GHS,Referral,7,N
T188,07-Nov-2024,cust_1446,Wig-BLOND-14,1,4500.0 GHS,Organic,7,N
T189,2024-09-08,cust_4570,ACC-8,2,478.0 GHS,Organic,6,N
T190,28-Oct-2025,C3152,Wig-Bone-30,2,15600.0 GHS,Organic,3,N
T191,2024-08-12,C1900,Wig-UPART-28,2,19800.0 GHS,Email,33,Y
T192,2024-11-17,C1865,acc-25,2,490.0 GHS,Organic,5,N
T193,03-Feb-2025,cust_3574,ACC-14,2,234.0 GHS,Organic,5,Y
T194,13/01/25,cust_369,Wig-CURL-32,3,3384.42 USD,Organic,22,Y
T195,2025-03-01,C3559,Wig-CURL-32,1,933333 NGN,Email,3,N
T196,29/09/24,cust_3900,ACC-22,1,118.0 GHS,Email,7,N
T197,11-Jan-2025,cust_949,Wig-SWISS-18,2,623.11 USD,Organic,40,N
T198,2025-10-06,C1595,Wig-Short-10,2,680.03 USD,Organic,3,N
T199,03-Feb-2025,cust_1333,Wig-Tpart-12,2,7000.0 GHS,Organic,3,N
T200,18/11/24,cust_5359,ACC-13,2,430.0 GHS,Email,5,N
T201,24/10/25,cust_4952,ACC-6,2,21.1 USD,Organic,7,N
T202,2025-03-14,cust_1004,ACC-19,1,164.0 GHS,Referral,3,N
T203,07/12/24,cust_1328,Wig-UPART-28,2,19800.0 GHS,Email,6,N
T204,2024-12-17,cust_3905,Wig-Short-10,2,7600.0 GHS,Organic,38,TRUE
T205,2024-09-12,C1769,ACC-11,3,537.0 GHS,Organic,5,N
T206,07-Jul-2024,C2896,ACC-24,3,447.0 GHS,Referral,3,N
T207,2025-04-09,cust_2018,Wig-WAVY-20,3,24000.0 GHS,Referral,4,N
T208,07-Sep-2024,cust_3857,ACC-5,2,548.0 GHS,Organic,5,N
T209,20/06/25,C220,ACC-22,3,354.0 GHS,Meta Paid,5,N
T210,16/12/24,cust_1115,ACC-14,2,234.0 GHS,Referral,6,N
T211,27-Aug-2024,C4265,ACC-16,1,252.0 GHS,Referral,7,N
T212,08-Oct-2024,cust_2743,Wig-Bone-30,2,15600.0 GHS,Organic,43,N
T213,14-Feb-2025,C3350,ACC-21,1,276.0 GHS,Organic,6,N
T214,2025-07-19,cust_2469,Wig-Short-10,1,253333 NGN,Meta Paid,5,N
T215,24/05/25,C59,ACC-23,2,448.0 GHS,Google_Ads,3,TRUE
T216,12/07/24,C4387,Wig-AFRO,3,697.46 USD,Organic,22,N
T217,2024-11-01,C1953,ACC-15,2,36.66 USD,Organic,7,N
T218,06/08/24,cust_2742,Wig-OMBRE-22,1,474.0 USD,Email,7,N
T219,2024-09-11,C2200,acc-4,3,981.0 GHS,Organic,7,N
T220,03-Aug-2024,cust_2671,Wig-CURL-32,3,2800000 NGN,Organic,7,N
T221,14/01/25,C3454,ACC-12,3,36.55 USD,Organic,5,N
T222,21/11/24,C4549,ACC-1,1,263.0 GHS,Organic,3,N
T223,22-Sep-2025,cust_354,Wig-UPART-28,3,29700.0 GHS,Referral,33,Y
T224,19-Nov-2024,cust_3571,ACC-23,2,448.0 GHS,Referral,5,N
T225,29-Apr-2025,C4820,Wig-Short-10,1,3800.0 GHS,Organic,24,N
T226,27/07/24,C1771,Wig-SWISS-18,2,8400.0 GHS,Organic,35,TRUE
T227,23-Jul-2025,cust_1350,ACC-13,3,645.0 GHS,Google_Ads,6,N
T228,2025-09-10,C1531,Wig-RED-14,3,21000.0 GHS,Organic,3,N
T229,02-Dec-2024,cust_803,ACC-21,3,828.0 GHS,Organic,5,N
T230,19-Oct-2025,C3882,Wig-SWISS-18,1,4200.0 GHS,Referral,3,N
T231,2025-04-29,C5015,ACC-19,1,164.0 GHS,Email,7,NULL
T232,11-Jun-2025,C3552,acc-4,2,654.0 GHS,Meta Paid,4,NULL
T233,05-Oct-2025,C1836,ACC-8,3,60.4 USD,Email,7,Y
T234,17-Nov-2024,cust_786,Wig-RED-14,2,14000.0 GHS,Organic,6,N
T235,18-Jul-2025,C3618,Wig-STRA-16,2,13000.0 GHS,Organic,32,N
T236,25/04/25,C4250,ACC-3,1,304.0 GHS,Organic,5,N
T237,2025-05-24,cust_2813,ACC-3,1,304.0 GHS,Organic,6,N
T238,01-Jul-2025,cust_5126,ACC-21,3,828.0 GHS,Organic,6,N
T239,10/11/24,C3804,ACC-24,3,447.0 GHS,Organic,6,N
T240,2024-11-26,C2020,ACC-8,2,31866 NGN,Referral,6,N
T241,20/07/25,C1689,ACC-1,1,263.0 GHS,Organic,7,Y
T242,02-Jul-2025,cust_754,ACC-2,2,308.0 GHS,Organic,4,N
T243,2025-02-19,cust_4363,Wig-SWISS-18,1,280000 NGN,Referral,41,N
T244,12-Oct-2025,C1514,Wig-AFRO,1,3500.0 GHS,Organic,4,N
T245,07/11/25,C3671,ACC-14,3,23400 NGN,Email,7,N
T246,2024-11-14,cust_2410,Wig-HDShort,2,13000.0 GHS,Organic,3,N
T247,24-Jun-2025,C758,ACC-1,3,68.51 USD,Organic,7,N
T248,2025-04-16,cust_374,ACC-6,3,357.0 GHS,Organic,6,N
T249,2024-12-18,C220,Wig-WAVY-20,1,8000.0 GHS,Organic,40,N
T250,07-Dec-2024,cust_2640,acc-25,3,735.0 GHS,Email,6,N
T251,30/08/24,C3049,Wig-LUX-26,2,25000.0 GHS,Organic,32,N
T252,26-Nov-2024,C1166,ACC-3,1,19.91 USD,Organic,6,Y
T253,07/08/25,C4406,Wig-SWISS-18,1,359.97 USD,Meta Paid,4,N
T254,05/06/25,C1554,Wig-STRA-16,2,1159.23 USD,Meta Paid,7,NULL
T255,2024-12-12,C3880,ACC-5,3,65.85 USD,Organic,7,N
T256,2025-04-13,C3211,ACC-5,2,548.0 GHS,Organic,6,N
T257,2025-01-29,cust_2669,ACC-15,3,831.0 GHS,Organic,4,Y
T258,2024-11-01,C1644,Wig-Tpart-12,3,10500.0 GHS,Organic,4,N
T259,20/12/24,cust_2957,ACC-8,2,478.0 GHS,Referral,5,N
T260,2025-05-13,C3788,ACC-19,2,328.0 GHS,Google_Ads,5,N
T261,12-Jan-2025,C3744,ACC-20,2,194.0 GHS,Organic,5,TRUE
T262,03-Nov-2024,cust_1650,Wig-HDShort,3,19500.0 GHS,Organic,5,N
T263,2024-09-05,C3835,ACC-19,1,164.0 GHS,Organic,7,N
T264,21/05/25,C92,ACC-16,2,504.0 GHS,Meta Paid,4,N
T265,2024-07-19,cust_4046,ACC-21,3,828.0 GHS,Organic,5,N
T266,2024-07-04,cust_4075,Wig-STRA-16,1,6500.0 GHS,Email,6,N
T267,07/10/24,cust_1871,ACC-6,1,119.0 GHS,Email,3,N
T268,07-Apr-2025,cust_1199,ACC-5,2,548.0 GHS,Organic,7,N
T269,14/08/25,cust_574,Wig-CURL-32,1,933333 NGN,Meta Paid,23,N
T270,11/10/25,C1589,Wig-CURL-32,2,28000.0 GHS,Organic,5,N
T271,2024-09-05,C2750,ACC-10,1,227.0 GHS,Referral,3,N
T272,11/11/24,cust_3873,ACC-19,3,492.0 GHS,Email,7,Y
T273,2025-10-15,cust_2385,acc-25,3,735.0 GHS,Organic,3,N
T274,19-Mar-2025,C4625,Wig-LUX-26,3,37500.0 GHS,Organic,3,TRUE
T275,03-Sep-2025,cust_4224,ACC-13,3,645.0 GHS,Email,3,N
T276,2024-12-10,cust_3938,ACC-9,3,927.0 GHS,Email,3,TRUE
T277,2024-12-13,cust_3938,ACC-11,1,179.0 GHS,Referral,5,NULL
T278,27/02/25,C1319,ACC-2,1,154.0 GHS,Organic,3,N
T279,08/07/24,cust_273,ACC-21,2,552.0 GHS,Referral,7,TRUE
T280,27-May-2025,cust_719,ACC-1,1,17533 NGN,Meta Paid,3,N
T281,2025-09-07,cust_2663,ACC-1,3,789.0 GHS,Organic,6,N
T282,27-Jul-2025,C4667,ACC-21,1,276.0 GHS,Organic,5,N
T283,2025-03-03,C875,ACC-13,3,645.0 GHS,Organic,6,N
T284,18/09/25,cust_3711,Wig-AFRO,3,10500.0 GHS,Organic,30,N
T285,01-Mar-2025,cust_552,ACC-15,2,36933 NGN,Organic,3,NULL
T286,26-Aug-2024,cust_4055,Wig-Tpart-12,2,7000.0 GHS,Organic,6,TRUE
T287,14-Sep-2024,cust_1192,ACC-17,1,194.0 GHS,Organic,5,N
T288,15-Jul-2024,C97,Wig-Bone-30,1,7800.0 GHS,Email,4,N
T289,02/11/24,cust_2506,ACC-16,2,504.0 GHS,Email,4,NULL
T290,2025-09-25,C3600,ACC-10,2,454.0 GHS,Organic,7,N
T291,2025-10-12,C3925,ACC-23,2,448.0 GHS,Organic,4,N
T292,30-Apr-2025,C5069,ACC-10,2,454.0 GHS,Email,3,N
T293,2025-08-14,C1531,Wig-WAVY-20,-1,-8000.0 GHS,Organic,3,TRUE
T294,2024-11-12,cust_3159,ACC-10,2,454.0 GHS,Organic,3,N
T295,01-May-2025,C666,ACC-9,1,309.0 GHS,Organic,6,N
T296,12-Jun-2025,cust_1360,ACC-9,1,309.0 GHS,Organic,4,N
T297,01/08/25,cust_4254,Wig-WAVY-20,3,24000.0 GHS,Meta Paid,4,NULL
T298,02-Jul-2025,C1309,Wig-SWISS-18,1,4200.0 GHS,Meta Paid,6,N
T299,2025-01-17,C1846,ACC-20,1,97.0 GHS,Email,3,N
T300,2025-07-31,C2144,ACC-3,3,912.0 GHS,Organic,5,N
T301,2025-05-27,C247,Wig-CURL-32,2,28000.0 GHS,Google_Ads,7,Y
T302,12/02/25,C194,Wig-RED-14,2,14000.0 GHS,Referral,5,N
T303,05/09/24,cust_5397,ACC-9,3,60.7 USD,Organic,7,N
T304,2025-08-05,cust_924,ACC-24,1,149.0 GHS,Organic,5,NULL
T305,01/06/25,C5129,Wig-OMBRE-22,3,20400.0 GHS,Meta Paid,4,TRUE
T306,04-Sep-2024,cust_4455,ACC-2,1,154.0 GHS,Referral,4,NULL
T307,01/05/25,cust_3143,ACC-8,1,239.0 GHS,Organic,3,N
T308,23/12/24,cust_3870,Wig-Tpart-12,2,7000.0 GHS,Organic,7,N
T309,04-Oct-2024,C2120,Wig-WAVY-20,2,16000.0 GHS,Organic,45,Y
T310,2025-09-18,C3537,acc-4,3,981.0 GHS,Referral,5,N
T311,30/09/25,C4897,Wig-Bone-30,1,7800.0 GHS,Organic,44,N
T312,02-Sep-2024,C3004,ACC-21,1,276.0 GHS,Organic,5,N
T313,2025-06-30,C3802,ACC-17,2,33.86 USD,Meta Paid,5,Y
T314,09/12/24,C2207,ACC-22,3,354.0 GHS,Referral,4,NULL
T315,2025-03-15,C2056,ACC-3,2,608.0 GHS,Organic,6,N
T316,28/03/25,C4469,ACC-9,1,309.0 GHS,Referral,5,N
T317,2025-04-14,cust_5188,ACC-14,3,351.0 GHS,Organic,3,N
T318,02/02/25,cust_388,ACC-7,1,291.0 GHS,Organic,3,N
T319,2025-07-29,C5354,ACC-20,1,8.29 USD,Meta Paid,3,N
T320,24-Apr-2025,cust_1199,Wig-AFRO,1,3500.0 GHS,Organic,23,N
T321,06/10/25,cust_745,Wig-RED-14,1,7000.0 GHS,Organic,42,N
T322,12-Apr-2025,C17,Wig-RED-14,1,7000.0 GHS,Referral,22,N
T323,18/08/24,cust_1749,ACC-12,2,316.0 GHS,Organic,3,Y
T324,2025-08-08,cust_4569,Wig-BLOND-14,2,9000.0 GHS,Organic,4,N
T325,23-Oct-2024,cust_3348,ACC-2,3,462.0 GHS,Organic,6,N
T326,2024-11-27,C1244,Wig-WAVY-20,2,1064.85 USD,Organic,5,N
T327,06-Oct-2025,C5223,acc-25,2,43.8 USD,Email,4,N
T328,06-May-2025,C4813,ACC-2,2,20533 NGN,Meta Paid,7,NULL
T329,14-Jun-2025,cust_1055,ACC-8,2,42.89 USD,Google_Ads,6,TRUE
T330,2024-11-07,C3819,ACC-23,2,29.75 USD,Organic,5,N
T331,2025-05-16,cust_145,ACC-5,3,822.0 GHS,Google_Ads,7,N
